gotu	covered_length	total_length	coverage_ratio	strain
G000156535	4308150	4411375	0.9766002663568615	Roseburia intestinalis L1-82
G001688965	4295119	4468295	0.9612433825430058	Erysipelotrichaceae bacterium I46 ASM168896v1
G000242195	4263121	4414579	0.9656914056810401	Erysipelotrichaceae bacterium 21_3 Erys_bact_21_3_V1
G000450985	4228994	4323423	0.9781587413491578	Clostridioides difficile P28
G000012005	4211918	4560911	0.9234817342412514	Shigella dysenteriae Sd197
G001406695	4183099	4283273	0.9766127445063623	[Clostridium] innocuum 2789STDY5834853
G900114575	4087190	4232065	0.965767302723375	[Clostridium] innocuum NLAE-zl-C381
G900091655	4037555	4410591	0.9154226723810936	Culturomica massiliensis Marseille-P2698
G000183585	3996995	4099852	0.9749120212144243	Clostridium sp. HGF2 ASM18358v1
G000154525	3982800	4009829	0.9932593135517749	Bacteroides stercoris ATCC 43183
G000803105	3966848	4138744	0.958466626590096	Coprobacter secundus 177
G000435955	3962253	4045508	0.979420384287956	Erysipelotrichaceae bacterium CAG:64 MGS64
G000435735	3944848	3962892	0.9954467595887044	Odoribacter splanchnicus CAG:14 MGS14
G000174195	3935882	4048462	0.9721919089273902	Roseburia inulinivorans DSM 16841
G001915615	3921954	4167409	0.941101293393569	Butyricimonas synergistica isolate 43_13
G001915655	3920603	3970265	0.987491515050003	Odoribacter sp. 43_10 ASM191565v1
G001403595	3902395	4261367	0.9157613038257442	Gabonia massiliensis GM3
G001481375	3878422	3951525	0.9815000537767065	Ruthenibacterium lactatiformans 668
G000154845	3875743	4300117	0.9013110573503	Bacteroides coprocola DSM 17136
G000152245	3866674	4316707	0.8957462250738816	Eubacterium limosum KIST612
G000312145	3850325	4017609	0.9583622995667324	Alistipes senegalensis JC50
G000438035	3835747	3839656	0.998981940048796	Bacteroides vulgatus CAG:6 MGS6
G001406335	3807787	3878672	0.9817244149543968	Fusicatenibacter saccharivorans 2789STDY5834885
G000157995	3795907	3932923	0.9651617893358196	Holdemania filiformis DSM 12042
G000438215	3788273	3943649	0.9606009561195735	Clostridium clostridioforme CAG:511 MGS511
G000154565	3705972	3719688	0.9963125939594933	Anaerotruncus colihominis DSM 17241
G000265365	3675297	3734239	0.9842157933651274	Alistipes finegoldii DSM 17242
G900048895	3671094	3671597	0.9998630023937812	Neglecta timonensis SN17
G001688625	3651008	3818500	0.9561367028938065	Flavonifractor plautii YL31
G000169255	3637531	4241076	0.8576905954998213	Pseudoflavonifractor capillosus ATCC 29799
G000436135	3623466	3749602	0.9663601630253024	Bacteroides dorei CAG:222 MGS222
G001404455	3616480	3731704	0.9691229529458928	Blautia obeum 2789STDY5608838
G000433955	3614789	3616177	0.9996161692306543	Parabacteroides merdae CAG:48 MGS48
G000269565	3600832	3861289	0.9325466184996771	Coprobacillus sp. D6 PB_Copr_sp_D6_V1
G000210575	3589918	3763317	0.9539238921408959	Alistipes shahii WAL 8301
G000156035	3587082	3995628	0.8977517426547216	Tyzzerella nexilis DSM 1787
G000433935	3584360	3883274	0.923025261673526	Odoribacter sp. CAG:788 MGS788
G000469445	3580084	3594235	0.9960628617772628	Oscillibacter sp. KLE 1745 ASM46944v2
G000159055	3577130	3842594	0.9309154180743529	Clostridium sp. M62/1 ASM15905v1
G000153905	3572037	3625508	0.9852514461421682	Blautia obeum ATCC 29174
G000436895	3570265	3652220	0.9775602236447969	Paraprevotella clara CAG:116 MGS116
G000225345	3559342	3592125	0.9908736472143926	Roseburia hominis A2-183
G001701045	3550813	3585187	0.9904122155971222	Cloacibacillus porcorum CL-84
G000154505	3549826	3622605	0.9799097610697275	[Clostridium] scindens ATCC 35704
G000436855	3526150	3530863	0.998665198847987	Bacteroides finegoldii CAG:203 MGS203
G000157975	3510248	3626943	0.9678255213826079	Blautia hydrogenotrophica DSM 10507
G000024265	3507349	3632260	0.9656106666373002	Eggerthella lenta DSM 2243
G001405615	3494509	3567818	0.9794527075091835	Roseburia faecis 2789STDY5608863
G000243215	3489372	3773011	0.9248242318933075	Odoribacter laneus YIT 12061
G000205165	3476982	3789812	0.9174550083223125	Paraprevotella xylaniphila YIT 11841
G000466565	3475051	3573774	0.9723757014293574	Blautia sp. KLE 1732 ASM46656v1
G900120005	3454618	3680275	0.9386847450258472	Holdemania sp. Marseille-P2844 PRJEB18022
G001414325	3421536	3610525	0.9476560887959508	Lachnospiraceae bacterium TF01-11 ASM141432v1
G000296465	3411233	3443906	0.9905128072601285	Barnesiella intestinihominis YIT 11860
G000432935	3376136	3477683	0.9708003863491871	Odoribacter laneus CAG:561 MGS561
G001244495	3357031	3453778	0.9719880664014885	Clostridium phoceensis GD3
G900086585	3332869	4661482	0.7149805576853027	Emergencia timonensis SN18
G000469345	3308355	3447136	0.9597402017210809	Eubacterium ramulus ATCC 29099
G900142265	3288659	3546077	0.927407667684599	[Clostridium] lactatifermentans DSM 14214
G000438395	3287019	3320774	0.9898352010705938	Bacteroides sp. CAG:98 MGS98
G001553605	3286105	3699310	0.8883021428320417	Desulfovibrio fairfieldensis CCUG 45958
G000313565	3267433	3615034	0.9038457176336377	Dielma fastidiosa JC13
G000173975	3237486	3290996	0.9837404846435547	[Eubacterium] hallii DSM 3353
G000020605	3229049	3449685	0.9360416965607005	[Eubacterium rectale] ATCC 33656
G001454945	3202213	3376475	0.94838937057138	Intestinimonas butyriciproducens AF211
G000154485	3198929	3235195	0.988790165662348	Erysipelatoclostridium ramosum DSM 1402
G000154345	3196017	3270209	0.97731276502511	[Clostridium] leptum DSM 753
G000526735	3192232	3724077	0.8571874319462245	Ruminococcus gnavus AGR2154
G000431095	3192010	3359031	0.9502770292980327	Blautia hydrogenotrophica CAG:147 MGS147
G000155875	3168140	3242215	0.9771529648712377	Coprococcus comes ATCC 27758
G001280875	3150305	3189052	0.9878499942929748	Sellimonas intestinalis BR72
G001312505	3123841	3259449	0.9583954220483278	Ruminococcus faecis JCM 15917
G000327285	3112086	3811476	0.8165041574445175	Holdemania massiliensis AP2
G000169235	3103422	3186031	0.9740715015013979	Dorea formicigenerans ATCC 27755
G000311925	3077738	3163675	0.9728363374872577	Alistipes obesi isolate ph8
G000162015	3071534	3090349	0.993911690880221	Faecalibacterium prausnitzii A2-165
G001311035	3065023	3215420	0.9532263281313172	[Clostridium] glycyrrhizinilyticum JCM 13369
G000210055	3063871	3608022	0.8491830149594431	Gordonibacter pamelaeae 7-10-1-b 7-10-1-bT
G000238615	3052959	3287261	0.9287242479377208	Synergistes sp. 3_1_syn1 Synerg_sp_3_1_syn1_V1
G000242955	3052529	3098456	0.9851774561265353	Eubacterium sp. 3_1_31 Eubact_sp_3_1_31_V1
G001916165	3049547	3263217	0.9345216698736247	Clostridium sp. CAG:12237_41 ASM191616v1
G000285455	3048551	3489612	0.8736074383054621	Alistipes timonensis JC136 P148
G000585335	3045700	3488464	0.8730776639804797	Cloacibacillus evryensis DSM 19522
G000832075	3043457	3385516	0.8989639983978809	Sanguibacteroides justesenii OUH 308042
G000437075	3021403	3024253	0.9990576185259633	Akkermansia sp. CAG:344 MGS344
G000177015	3014781	3197355	0.9428984269810515	Ruminococcaceae bacterium D16 Rumi_bact_D16_V2
G001022195	2997362	7227285	0.41472862907717073	Klebsiella oxytoca CAV1374
G000154305	2991645	3606936	0.829414494740134	Anaerostipes caccae DSM 14662
G000433155	2987663	3078457	0.970506653170728	Clostridium sp. CAG:122 MGS122
G001305135	2987488	3113981	0.959379007129459	Clostridia bacterium UC5.1-1D1 ASM130513v1
G001244995	2981713	3105129	0.9602541472512092	Intestinimonas massiliensis GD2
G000832085	2976527	3410672	0.8727098354811017	Sanguibacteroides justesenii OUH 334697
G000154425	2955677	3102987	0.9525263882832896	Coprococcus eutactus ATCC 27759
G000432215	2954497	3203784	0.922189823034262	Anaerostipes sp. CAG:276 MGS276
G000431355	2950202	3087525	0.9555232751151812	Ruminococcus sp. CAG:60 MGS60
G000157935	2947139	3512473	0.8390495813063901	Prevotella copri DSM 18205
G001305115	2937423	2997790	0.979862832286451	Clostridia bacterium UC5.1-1E11 ASM130511v1
G001915435	2937332	3110197	0.9444199193813125	Bacteroides sp. 41_26 ASM191543v1
G000411515	2927480	2988328	0.9796381120144777	Sutterella wadsworthensis HGA0223
G000187895	2913295	4421924	0.6588297311306119	Bacteroides plebeius DSM 17135
G000158655	2911034	3478423	0.8368832657787739	[Clostridium] methylpentosum DSM 5476
G001049915	2879868	3057334	0.9419540030627992	Drancourtella massiliensis GD1
G000723465	2873114	2968500	0.9678672730335186	Ruminococcus bicirculans 80/3
G900104675	2870527	4041781	0.7102133935510113	Angelakisella massiliensis Marseille-P3217
G001915695	2848214	2871413	0.9919207024555506	Blautia sp. CAG:37_48_57 ASM191569v1
G000154445	2838452	2972256	0.9549823433782285	Intestinibacter bartlettii DSM 16795
G000163515	2827451	3137498	0.9011801760511082	Erysipelotrichaceae bacterium 5_2_54FAA Ery_bact_5_2_54FAA_V2
G000154065	2822167	2915433	0.9680095546699238	Dorea longicatena DSM 13814
G001917295	2812257	2966498	0.9480056956047164	Akkermansia sp. 54_46 ASM191729v1
G000154245	2807423	2954616	0.9501820202693007	Clostridium sp. L2-50 ASM15424v1
G000752095	2795840	2931144	0.9538391836088571	bacterium LF-3 Guyana massiliensis
G000431875	2790876	2830982	0.9858331843861953	Firmicutes bacterium CAG:24 MGS24
G000153885	2789930	2870795	0.9718318444890701	Eubacterium ventriosum ATCC 27560
G000436635	2780037	2836067	0.9802437671606489	Coprococcus sp. CAG:131 MGS131
G000205025	2777259	2831696	0.9807758318689577	Parasutterella excrementihominis YIT 11859
G000435795	2777156	2855675	0.9725042240451032	Clostridium sp. CAG:58 MGS58
G900095865	2776779	2985330	0.9301413914039653	Massilioclostridium coli Marseille-P2976
G000431955	2771751	2818959	0.9832533924757331	Clostridium leptum CAG:27 MGS27
G000434955	2769768	2785893	0.9942119097897874	Firmicutes bacterium CAG:65 MGS65
G000321205	2759923	2772824	0.995347342636965	Alistipes ihumii AP11
G001580195	2758815	3113726	0.8860172667729916	Akkermansia sp. KLE1798 ASM158019v1
G001647615	2755919	3108219	0.8866553482878781	Akkermansia sp. KLE1605 ASM164761v1
G001578645	2751190	3109783	0.8846887387319308	Akkermansia sp. KLE1797 ASM157864v1
G000231275	2738315	2855429	0.9589854974506458	Alistipes indistinctus YIT 12060
G000431615	2729688	2757549	0.9898964624019374	Firmicutes bacterium CAG:41 MGS41
G000153925	2722137	2741706	0.9928624732192292	Ruminococcus torques ATCC 27756
G000332875	2712175	2772228	0.9783376403383849	Anaerostipes hadrus DSM 3319
G000468015	2698618	3096487	0.8715095525994457	Ruminococcus callidus ATCC 27760
G000436395	2694438	2721828	0.9899369100472183	Akkermansia muciniphila CAG:154 MGS154
G001294445	2693307	3733085	0.7214695084628397	Comamonas kerstersii J29
G000155205	2681311	2731235	0.9817210895437412	Ruminococcus lactaris ATCC 29176
G001487125	2673308	3397023	0.7869561083336792	Gabonibacter massiliensis GM7
G000438275	2657578	2669690	0.9954631436608745	Blautia sp. CAG:37 MGS37
G000834015	2652356	3263251	0.812795583300212	Prevotella sp. P4-76 ASM83401v1
G000156675	2651853	3058721	0.8669810028439991	Blautia hansenii DSM 20583
G000435655	2651149	2725104	0.972861586200013	Clostridium sp. CAG:299 MGS299
G000432615	2650187	2777117	0.954294327534634	Sutterella wadsworthensis CAG:135 MGS135
G000435995	2643252	2752503	0.9603084901269863	Firmicutes bacterium CAG:137 MGS137
G000980515	2637262	2770805	0.9518035372391778	Akkermansia sp. UNK.MGS-1 ASM98051v1
G000432475	2635929	2744059	0.9605948705913393	Clostridium sp. CAG:127 MGS127
G000431695	2629835	2653983	0.9909012228036125	Eubacterium sp. CAG:146 MGS146
G000020225	2613245	2664102	0.9809102654477945	Akkermansia muciniphila ATCC BAA-835
G000411355	2592850	2792342	0.9285574618008826	Coprococcus sp. HPP0048 Copr_sp_HPP0048_V1
G000382085	2583178	2664035	0.9696486720332128	[Eubacterium] siraeum DSM 15702 ASM38208v1
G000297775	2549012	2725870	0.9351186960493347	Sutterella wadsworthensis 2_1_59BFAA
G000433295	2547065	2799714	0.9097589968118172	Coprococcus eutactus CAG:665 MGS665
G000436995	2546976	2607950	0.9766199505358615	Ruminococcus obeum CAG:39 MGS39
G000723745	2536653	2557614	0.9918044708857552	Akkermansia muciniphila isolate Urmite
G000154465	2532959	2550678	0.9930532195753443	Alistipes putredinis DSM 17216
G000436475	2528375	2618909	0.9654306430654902	Eubacterium sp. CAG:248 MGS248
G000432875	2522670	2695531	0.935871262471105	Firmicutes bacterium CAG:466 MGS466
G000765235	2520592	2729704	0.9233938917919305	Oscillibacter sp. ER4 ASM76523v1
G000431995	2511993	2832137	0.8869602706366253	Clostridium sp. CAG:81 MGS81
G900116045	2511160	2807531	0.8944371406762739	Desulfovibrio piger isolate DESPIGER1
G900086725	2488271	4219447	0.5897149555380125	Bariatricus massiliensis AT12
G000436675	2485436	2560046	0.970855992431386	Eubacterium sp. CAG:115 MGS115
G001915495	2485084	2992278	0.8304990378567767	Bacteroides finegoldii isolate 42_12
G900104615	2480457	2580742	0.9611410206831988	Phocea massiliensis Marseille-P2769
G001486165	2477545	2806977	0.8826381548548492	Bittarella massiliensis GD6
G001916415	2458949	2566844	0.9579658911877776	Eubacterium sp. 45_250 ASM191641v1
G001486665	2445821	3829505	0.6386781059170833	Fournierella massiliensis AM2
G000373885	2441371	6085687	0.40116604748157436	Blautia producta ATCC 27340 = DSM 2950 ATCC 27340
G000437675	2436825	2624448	0.9285095380057063	Prevotella sp. CAG:891 MGS891
G000435455	2432272	2567117	0.9474722032536889	Clostridium sp. CAG:242 MGS242
G001917015	2421667	2494553	0.970781939690197	Ruminococcus bicirculans isolate 43_17
G000478885	2413580	2862526	0.8431643939653299	Adlercreutzia equolifaciens DSM 19450
G000435395	2400280	2550619	0.94105783733282	Firmicutes bacterium CAG:94 MGS94
G000431455	2398785	2501735	0.9588485590999846	Parasutterella excrementihominis CAG:233 MGS233
G000432315	2398240	2529256	0.9481997868147787	Clostridium sp. CAG:264 MGS264
G001940945	2388467	2437735	0.979789435685175	Akkermansia sp. Phil8 ASM194094v1
G000146185	2383374	2831389	0.8417684747662719	[Eubacterium] eligens ATCC 27750
G001916225	2371431	2488784	0.9528472539199866	Clostridium sp. CAG:62_40_43 ASM191622v1
G000432115	2361697	2363514	0.9992312294321083	Ruminococcus torques CAG:61 MGS61
G000154805	2355013	2507885	0.9390434569368212	[Clostridium] spiroforme DSM 1552
G000431655	2353689	2527326	0.9312961604478409	Clostridium nexile CAG:348 MGS348
G000158495	2338862	2436766	0.9598221577287274	Oxalobacter formigenes OXCC13
G000169035	2327144	2439869	0.953798749031198	Collinsella aerofaciens ATCC 25986
G001940855	2321874	2848015	0.8152604533332866	Christensenellaceae bacterium Phil1 ASM194085v1
G000694955	2314602	4852316	0.47700974132764645	Lelliottia amnigena CHS 78
G000156015	2310405	2496039	0.9256285658998117	Butyrivibrio crossotus DSM 2876
G900104605	2310208	2390301	0.9664925045004792	Tidjanibacter massiliensis Marseille-P3084
G000436295	2284455	2371281	0.963384347953701	Phascolarctobacterium sp. CAG:207 MGS207
G000230275	2265275	2487765	0.9105663115286211	Acidaminococcus intestini RyC-MR95
G000786575	2254439	2304821	0.978140601808123	Alistipes inops 627
G000437175	2238991	2474598	0.9047897880787101	Ruminococcus sp. CAG:330 MGS330
G000701665	2233911	2646896	0.8439738471024173	Butyricicoccus desmolans ATCC 43058
G000431855	2230834	2256374	0.9886809544871551	Clostridium sp. CAG:352 MGS352
G000420465	2224497	3391683	0.6558681928706191	Desulfovibrio desulfuricans subsp. desulfuricans DSM 642
G000435355	2200969	2206304	0.9975819288729024	Clostridium sp. CAG:91 MGS91
G000007525	2198374	2260266	0.9726173822019178	Bifidobacterium longum NCC2705
G000006865	2196417	2365589	0.9284863093293044	Lactococcus lactis subsp. lactis Il1403 IL1403
G000433515	2194930	2511147	0.8740746758353852	Firmicutes bacterium CAG:272 MGS272
G000431915	2193914	2618993	0.8376937242673043	Prevotella sp. CAG:386 MGS386
G000173795	2161966	2671313	0.8093270986964088	Catenibacterium mitsuokai DSM 15897
G000433735	2158713	2167364	0.9960085154131931	Clostridium sp. CAG:167 MGS167
G001916865	2151718	2406810	0.894012406463327	Phascolarctobacterium succinatutens isolate 46_33
G001405375	2137651	2234797	0.9565302799314658	Collinsella aerofaciens 2789STDY5608823
G000435575	2125162	2681921	0.7924029082139258	Clostridium sp. CAG:230 MGS230
G000433635	2098583	2245400	0.9346143226151242	Ruminococcus sp. CAG:254 MGS254
G000247895	2087652	5735978	0.36395746287729835	Raoultella ornithinolytica 10-5246
G001915735	2087283	2130588	0.9796746250330894	Butyrivibrio crossotus isolate 37_264
G000434055	2083469	2206392	0.9442877784183409	Ruminococcus sp. CAG:488 MGS488
G000436155	2080868	2146826	0.9692765040110377	Clostridium sp. CAG:505 MGS505
G000431295	2074361	2161582	0.9596494604414729	Acidaminococcus intestini CAG:325 MGS325
G000431015	2072781	2391969	0.8665584712845359	Alistipes sp. CAG:514 MGS514
G000435815	2070488	2195724	0.9429636876037243	Eubacterium sp. CAG:192 MGS192
G000785515	2062491	2188923	0.942240087933655	Streptococcus salivarius NCTC 8618
G000436215	2061735	2114564	0.9750165991665422	Ruminococcus sp. CAG:177 MGS177
G000436415	2050090	2090037	0.9808869412359685	Firmicutes bacterium CAG:102 MGS:102
G000188175	2049948	2121954	0.9660661823960368	Phascolarctobacterium succinatutens YIT 12067
G000433235	2048970	2134390	0.9599791978035879	Acinetobacter sp. CAG:196 MGS196
G000236865	2031781	2398022	0.8472737114171597	Senegalimassilia anaerobia JC110 type strain: JC110
G000431035	2030815	2127882	0.9543832787720372	Clostridium sp. CAG:226 MGS226
G000164675	2011468	2153652	0.9339800487729679	Streptococcus parasanguinis ATCC 15912
G000686665	1997031	3143441	0.6353009329585	[Clostridium] saccharogumia DSM 17460
G000432395	1987768	2090320	0.9509395690611964	Butyrivibrio crossotus CAG:259 MGS259
G000435715	1981200	2066053	0.9589299016046539	Firmicutes bacterium CAG:145 MGS145
G001543345	1979392	2622031	0.7549079320572487	Turicibacter sp. H121 ASM154334v1
G000432755	1962471	2855741	0.6872020256738969	Roseburia sp. CAG:380 MGS380
G000431835	1961003	2254171	0.8699442056525437	Succinatimonas sp. CAG:777 MGS777
G000435055	1945378	1979254	0.9828844605088584	Clostridium sp. CAG:138 MGS138
G000437715	1945269	2018079	0.9639211349010619	Catenibacterium sp. CAG:290 MGS290
G001899425	1940267	2197281	0.8830308913607318	Candidatus Gastranaerophilales bacterium MH_37 ASM189942v1
G001916345	1939321	1982440	0.9782495308811364	Dorea sp. 42_8 ASM191634v1
G000434975	1928914	2761587	0.6984802579096729	Prevotella sp. CAG:520 MGS520
G001404695	1927574	2187920	0.8810075322680903	Collinsella aerofaciens 2789STDY5834902
G001917115	1905773	2032656	0.9375777308113129	Melainabacteria sp. 35_41 ASM191711v1
G000436935	1903841	2691512	0.7073499950956934	Firmicutes bacterium CAG:227 MGS227
G000404225	1898690	1931651	0.9829363585865148	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
G000010425	1894750	2089645	0.9067329618188735	Bifidobacterium adolescentis ATCC 15703
G001487105	1879446	3069885	0.6122203274715502	Ruminococcus sp. AT10 Ruminococcus phoceensis
G000436275	1876241	1973564	0.9506866764898427	Firmicutes bacterium CAG:240 MGS240
G001679325	1875013	2129377	0.8805453426049028	Haemophilus parainfluenzae CCUG 62654
G000261285	1875006	2101432	0.892251569406005	Haemophilus parainfluenzae HK2019
G000190095	1872893	1978848	0.9464562209932244	Methanobrevibacter smithii TS95C
G000432435	1869608	1882175	0.9933231500790309	Eubacterium sp. CAG:180 MGS180
G001406595	1868894	2612019	0.7154978581702507	Turicibacter sanguinis 2789STDY5834851
G000190135	1864945	1975004	0.944274036913343	Methanobrevibacter smithii TS96A
G000436835	1861192	1873859	0.9932401530744842	Eubacterium sp. CAG:251 MGS251
G000433115	1860075	1946302	0.9556970089944932	Ruminococcus sp. CAG:382 MGS382
G001055885	1857013	1997176	0.9298194049998598	Haemophilus parainfluenzae 209_HPAR
G001917235	1856878	2080934	0.8923291175981555	Acinetobacter sp. CAG:196_36_41 ASM191723v1
G000259485	1856846	2107814	0.8809344657545685	Haemophilus parainfluenzae HK262
G001643385	1855995	1877201	0.9887033940425133	Butyricicoccus sp. K4410.MGS-46 ASM164338v1
G000253395	1838692	1929905	0.9527370518237944	Streptococcus thermophilus JIM 8232
G000431575	1836958	1866939	0.9839410928798423	Firmicutes bacterium CAG:83 MGS83
G000433975	1836423	1881083	0.9762583575525375	Anaerotruncus sp. CAG:528 MGS528
G001406535	1835566	2660930	0.6898212279165555	Turicibacter sanguinis 2789STDY5834949
G000178255	1835077	2953411	0.6213415606564748	Turicibacter sanguinis PC909
G001916305	1819830	1893690	0.9609967840565246	Coprococcus sp. CAG:131_42_139 ASM191630v1
G000434535	1814872	1909369	0.9505087806495235	Collinsella sp. CAG:166 MGS166
G000016525	1797846	1853160	0.9701515249627664	Methanobrevibacter smithii ATCC 35061
G001514435	1787346	1787436	0.9999496485468571	Streptococcus thermophilus S9
G000160055	1783355	1895960	0.9406079242178105	Dialister invisus DSM 15470
G000430525	1781626	2800206	0.6362481903117128	Prevotella corporis DSM 18810 = JCM 8529 DSM 18810
G000431315	1780079	2196785	0.8103109771780124	Brachyspira sp. CAG:484 MGS484
G000436775	1774773	1974118	0.8990207272310976	Eubacterium sp. CAG:202 MGS202
G000014525	1767187	2924325	0.6043059509459447	Lactobacillus paracasei ATCC 334
G000190155	1759798	1869210	0.9414661808999524	Methanobrevibacter smithii TS96B
G001916495	1743474	1773270	0.9831971442589115	Faecalibacterium sp. CAG:82-related_59_9 ASM191649v1
G000437655	1742092	1979971	0.8798573312437404	Clostridium sp. CAG:729 MGS729
G000433275	1741953	1773580	0.9821677059957825	Dialister invisus CAG:218 MGS218
G000435775	1734816	1776627	0.9764660786985676	Firmicutes bacterium CAG:270 MGS270
G000436075	1733936	1874265	0.9251285170453485	Eggerthella sp. CAG:209 MGS209
G001940885	1730840	2306994	0.7502576946450663	Succinivibrio sp. Phil9 ASM194088v1
G000154285	1730047	2191053	0.7895961439545278	[Eubacterium] dolichum DSM 3991
G000309705	1721661	3071147	0.5605921826600941	Lactobacillus casei UCD174
G000829035	1718538	3017804	0.5694664066983807	Lactobacillus paracasei subsp. paracasei JCM 8130
G000024945	1718362	2132142	0.8059322502910219	Veillonella parvula DSM 2008
G000824705	1704061	1718384	0.9916648432480749	Methanobrevibacter smithii ACE6
G000980655	1698385	1883603	0.9016682390079014	Rhodospirillum sp. UNK.MGS-17 ASM98065v1
G000469305	1686449	1946426	0.8664336584077689	Faecalitalea cylindroides ATCC 27803
G000432275	1674445	1709120	0.9797117815015914	Proteobacteria bacterium CAG:495 MGS495
G000437055	1674079	1729973	0.9676908252325326	Methanobrevibacter smithii CAG:186 MGS186
G001916175	1673136	1784841	0.9374145932326745	Clostridium sp. CAG:245_30_32 ASM191617v1
G000436195	1668137	1810591	0.921321822543026	Azospirillum sp. CAG:260 MGS260
G001917125	1666402	1836284	0.9074859880062125	Azospirillum sp. 47_25 ASM191712v1
G000508965	1665803	3357599	0.4961292280585025	Clostridiales bacterium VE202-08 ASM50896v1
G001553335	1657099	2050442	0.808166726978866	Veillonella parvula DNF00876
